date,flu,cough,fever,headache,lagnat,rashes,sipon,ubo,ecq,face-shield,Frontliners,masks,Quarantine,social-distancing,work-from-home
2020-06-02,61.61330977941397,84.97870298513509,71.53367646342241,68.03997229669017,1940.62953618367,64.95090280135342,0.0123873133960512,167.06516734943006,4.93206406693533,45.16682307193568,31.59558625692772,69.62432934111136,11.840448110473286,55.66654005739712,83.1028992443131
2020-06-03,49.96743007779524,89.34056109464048,77.58560839582385,80.11849295605796,0.3195237435902531,45.07955939538746,1.00656504285457,0.0178561834553657,4.968734508383552,84.26184286479938,42.527990489254606,55.263864366310194,9.934029627565508,62.88360252952286,88.37902658977019
2020-06-04,76.00938345722388,92.1797823120857,76.62847495417228,74.95963823897972,0.3157059244938142,59.25496297795528,6230.999673746349,1.0943820875510673,4.002847941264192,62.794606872361136,56.6013872462913,59.79476900126322,9.996730867425214,65.20945470977027,82.95239945624826
2020-06-05,58.50278767767229,71.30651459588091,66.7095808093125,78.84594942326764,0.3119812611474056,47.31656935761297,0.0120389884130136,0.5695239813745367,4.029315751716033,58.47059320160952,33.59980612192096,53.72820278806,10.054123867140628,53.6273797159683,81.24599827543373
2020-06-06,67.77789599483324,95.86063384523594,83.68702323588003,91.81305690693078,0.0275348339556307,57.51498089882864,67.1629943255874,4502.275107005353,4.055555625622475,62.1567020022541,44.49481719326336,66.59129747599204,11.120973715940902,49.880201386223504,61.70948852820613
2020-06-07,64.79636791035422,67.84356468946267,68.77171251343407,87.62583692797973,0.3047568712267141,51.57848139432181,157.34979368930237,0.5562052801095672,3.0613805328194297,35.26523576516587,30.589100233243503,66.64827204380637,9.151094906768488,44.0776265745406,35.33843866403117
2020-06-08,58.78564411701982,92.22879711501248,75.7653083775177,83.53424328800666,0.0270856951868638,54.73967911531788,0.0156200530274325,0.5497809867280707,5.133732651692537,66.84449539707586,0.0121421464832396,53.07429310864624,10.220824170151532,45.20372532884162,58.95577314926889
2020-06-09,43.93501842777273,70.48153059981745,64.78752844936302,67.78052226159934,0.0269292632817745,34.44140865689559,1.3673412340350712,0.5435061076983001,5.1651542204612735,56.31071246752346,0.3084220290980691,48.91495516962079,10.270870550362762,50.35004655930055,53.94627433001386
2020-06-10,44.94922893944293,63.09542848276134,63.78557558082047,70.65337821483315,0.0266942971746065,45.55983444046268,139.45967936226737,452.12288315763857,6.234223594173946,39.64228631525465,0.3048296992576264,49.08054097098979,9.285388117028916,47.42386747853896,63.92159509327969
2020-06-11,55.02437956101018,82.29047732106365,59.77763667530907,72.65183869139439,230.94443265468976,42.50685136185839,92.34271170355744,596.3633668335606,7.274528764795882,42.09393136893757,1205.2220749520225,63.7126790640403,10.359530672534651,48.52895922713133,62.07626938182688
2020-06-12,60.27487672256983,66.93861685090152,86.6493529858011,84.47948952504301,0.0263999290207597,55.63043766876967,121.6461194763382,683.5144520925159,27.898412120813312,35.660057354320955,1340.2860984592685,62.93126701613545,50.36822121832713,33.21155455734995,60.22573149167347
2020-06-13,83.67397076709592,97.14323075210304,77.68562681485616,86.46890933933744,0.0262579513296177,52.06819110033818,137.31481993969075,534.310064675334,92.289074273974,76.13621457430168,1376.9124293953869,59.23336080055604,56.75689192672923,26.37268000181664,47.452547064598654
2020-06-14,79.96147765273692,77.7739881878739,100.56563584707108,87.45217108886192,0.0075771024353692,61.495055722525805,130.31410782845663,560.4110857232382,125.95622083060344,0.0101265433670645,1563.1989411391048,51.609246018168605,71.70302572361115,44.67694876958611,54.51038232393656
2020-06-15,69.04871922139166,93.76081105370795,71.32973443135867,66.31920592591223,0.0077124864017758,41.8670715487546,73.56428328264394,6722.985502815094,192.24150776568675,70.5982511181137,2494.766815396609,62.48108859251761,119.73743760123313,52.84188653325717,39.73409271836811
2020-06-16,48.66740285670006,84.50774132832653,73.46120931339934,71.31920502967846,66.65671598301367,71.58296317300241,65.88951692011001,274.62169616881954,100.76577981943082,86.80019918408374,1459.4050277681945,75.44405176541626,76.4240318728278,46.02780076568119,56.73643039258379
2020-06-17,85.3329490023332,75.38349360401025,73.44328742970036,77.3223776141311,0.0080005826154471,55.297574074871775,64.08656771046505,525.9923572195473,51.800820310726806,86.58674315551826,0.0359355202632095,56.265895517587744,54.0334955700453,47.79489886449867,60.83442452408924
2020-06-18,93.9436050618227,64.04217041567091,79.44903317066908,63.240275125607184,73.0290383103737,44.461564117385294,62.91478782016001,7613.917710411512,30.09854487220067,76.85340338265989,183.05844075236507,47.33187179581717,50.94625367127831,30.334915979524727,66.84309472708821
2020-06-19,93.1791033329436,94.4428234770674,66.56564188082002,51.16717157639927,0.008224904691476,51.65407863563807,75.57280889289731,509.7695981261224,31.078620285162373,89.212210425399,0.038464096311493,47.44551927281292,44.81610326479395,48.936050943321135,67.86599800183463
2020-06-20,69.76448721614163,100.1079299162584,70.64351135844817,88.24288617909484,0.0083666359444171,53.54263329551013,62.6804205640684,0.0505000651087255,18.827716420889207,100.44570134716724,201.1595321197992,66.32695248918182,42.09595268593124,55.026315885327776,48.92116230166908
2020-06-21,58.54575977016325,96.92593011102689,70.73623813701516,81.17785753232432,0.0085052642371117,37.649915582818,67.96997658218194,435.926905365052,14.600646841476369,2579.0794952078845,0.5644142244268081,48.64458106720909,39.51538764892637,0.0109339321022503,48.94059631147598
2020-06-22,80.87992809675511,78.67469070321444,82.79201797443497,95.16683801598332,0.008601701552758,89.79829586773516,68.17193938565478,253.19845196088497,24.71916449778237,2882.6893089545697,2346.0120251400253,44.793471850193306,38.49561172992373,54.39308377084496,71.95185066584314
2020-06-23,66.53474730758624,90.7349935523456,85.24712822150713,67.08608905975841,0.0087300039852212,72.45248837538801,86.36653733406605,1.005960646315998,22.264937895059845,3292.198564184761,2653.5969371999045,26.33600357091372,39.01247520188231,40.05861413981464,66.9891022599781
2020-06-24,74.75355137894931,95.7266011359294,77.22618199412493,83.06273036406759,88.43638513928109,94.09341447972037,63.99290254849706,312.48744385363136,14.931047197063624,82.95338467720325,0.5472013942312578,42.045136424626335,40.8393333107262,53.88567769556878,86.04501326433642
2020-06-25,85.03831827853136,90.6059983139224,75.21123746250045,95.03241854322184,0.0089302516079493,82.46771348839458,70.18672332855712,0.4171711254303053,17.706681141730712,100.65168225522314,1851.219038454716,48.06152026928147,39.87756046072981,31.01118206039728,100.10352241573382
2020-06-26,94.16266234020254,59.21600007284759,78.26310080720654,79.38991144459429,0.0090137727704306,80.8382500978932,81.83995398323309,407.9829063174193,18.704576059965305,97.19516516165612,0.5471385818935355,34.10740466805156,36.23136336871886,54.265384919559935,71.21815523716012
2020-06-27,66.37190146993623,78.80656692080906,91.21786885584493,99.42980142547329,88.44323571102419,77.06305810667529,89.70611308580627,838.6990076150228,15.083955022682405,99.81034790405272,0.1844468844260242,0.0108313719435615,27.50085018177425,38.06414124718373,52.18665326369974
2020-06-28,93.37926861024346,74.59577786784563,87.2259924971636,99.37397104827336,44.63703292582138,84.57621891065699,90.10707044723328,882.4910301409413,11.685189554215205,79.58763133295662,0.1865080922324721,52.80639633996664,47.39240524807503,0.3150523479819937,59.21562745261424
2020-06-29,89.86720481028308,74.97530962275313,90.25146832856908,70.25321117213909,0.0090229132879541,72.68255734777064,84.86005591432296,516.0770372144624,19.78783190201892,95.20815108432116,0.1845463791769276,59.01935294045353,84.43224761355344,145.38901308806183,71.12296073335837
2020-06-30,92.42905326332162,66.02731528205017,89.21124905496809,82.28079219838804,0.0091002292029536,73.32584686835479,57.25704918157815,498.2469707509679,31.4937861502932,87.04756317102894,949.5722073558204,72.50916572918324,134.3855642738879,1051.144704281734,69.25637429270601
2020-07-01,69.53684388072213,74.69277281442284,93.16701007069616,84.53695319834543,0.0091750225048936,85.85576815932448,89.89792292639095,507.4284691090143,22.605713711157247,95.72780697428884,0.1878687056932424,56.3009885162606,101.53576969836196,1041.3563404225654,63.17004331714954
2020-07-02,65.1023015946257,90.0624855124077,96.62086003667484,90.54365058545552,45.32797407346691,85.19444073874772,83.72258140293775,358.3345808596506,16.728047345779924,95.8288367687358,0.1860492615718752,64.53804879549703,56.577848301788535,2577.582757057646,59.20387532928529
2020-07-03,50.38558449274734,70.65687415886462,73.55212783741992,79.4478653410828,37.42277119707543,99.78783778643992,87.69569286000446,482.4690921377723,14.91968230699317,80.49650677840259,1699.8781843644983,104.71545212240936,58.6041474641699,1532.3058559736714,71.24796615791753
2020-07-04,50.53061642806064,77.60712101644812,81.43751318398176,80.428460317941,0.0094549722651927,90.53673797218671,85.01248220256802,587.5199742558705,8.433918935909912,88.39112027104167,0.1683568963423242,51.24802104676057,53.00699156602902,1907.6323452463148,54.17579256302572
2020-07-05,68.55096590854353,93.92588540010404,90.28624658838042,96.72977260116517,0.0095514430052333,80.48980941759547,62.60408231726464,341.4526943641728,10.472269384951677,75.47859771549875,0.1668441873095498,67.73387716054263,48.81448360117558,0.4598665343695379,51.15182630908459
2020-07-06,64.02917241782747,82.99606038975381,87.52495279845625,93.98127931111787,0.0096452274932976,90.3870421034973,65.59630834216554,685.9262057101434,16.887260869969236,93.49629860045754,0.1654614633988282,77.93581943363964,57.320077369468834,4149.799371135137,69.18859932153832
2020-07-07,52.8744173344891,82.48354912179657,91.69954637028162,77.62971739742626,44.65416772002373,74.5576875059169,76.23116398767779,352.66140469688804,16.403585875061033,66.55795032177906,0.1639453518620128,69.4415266873743,56.62632909612214,2549.947612508791,91.00918236977267
